,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_total_listings_count,host_verifications,host_identity_verified,neighbourhood,property_type,room_type,bedrooms,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,price,price_avg,price_std,beds,accommodates,reviews_per_month,availability_60,availability_90,availability_365,revenue,booking_rate,bathrooms_text,price_per_person,accom_per_bed,price_surge_percent,price_std_percent
616,"Antwerp, Belgium",within an hour,100.0,94.0,t,host neighbourhood not available,2,"['email', 'phone']",t,"Antwerpen, Vlaanderen, Belgium",Entire rental unit,Entire home/apt,1.0,2,362,t,18,140,53,2,4.84,4.91,4.89,4.87,4.84,4.73,4.82,f,63.153424657534245,63.153424657534245,9.266418191331697,2.0,4.0,3.23,47,49,49,8.797260273972602,13.424657534246576,1 bath,15.788356164383561,2.0,0.0,14.672867293549388
617,"Antwerp, Belgium",response not available,95.51634665282823,100.0,f,host neighbourhood not available,3,"['email', 'phone']",t,neighbourhood not available,Entire rental unit,Entire home/apt,2.0,2,7,t,0,17,2,0,4.76,4.94,4.71,4.76,4.88,4.65,4.71,f,95.3972602739726,95.3972602739726,5.5597151036469254,2.0,4.0,0.39,0,0,0,0.0,0.0,1 bath,23.84931506849315,2.0,0.0,5.8279609788372415
618,"Antwerp, Belgium",within an hour,100.0,100.0,f,host neighbourhood not available,4,"['email', 'phone']",t,"Antwerpen, Vlaanderen, Belgium",Private room in rental unit,Private room,1.0,30,1125,t,0,13,2,0,4.85,4.77,4.38,4.77,4.77,4.69,4.69,t,32.8027397260274,32.8027397260274,1.0713517961353007,1.0,1.0,0.31,8,12,224,20.054794520547944,61.369863013698634,1 shared bath,32.8027397260274,1.0,0.0,3.266043644778959
619,host location not available,response not available,95.51634665282823,67.0,f,host neighbourhood not available,2,"['email', 'phone']",f,"Antwerpen, Vlaanderen, Belgium",Entire rental unit,Entire home/apt,1.510843373493976,1,30,t,0,7,2,0,4.0,4.0,4.14,4.43,4.71,4.14,4.0,f,139.0,139.0,0.0,1.0,2.0,0.16,0,0,0,0.0,0.0,1 bath,69.5,2.0,0.0,0.0
620,"Schoten, Belgium",within an hour,83.0,75.0,f,Saint Kevin's,6,"['email', 'phone']",t,"Antwerpen, Vlaanderen, Belgium",Entire rental unit,Entire home/apt,1.0,7,130,t,25,25,2,0,4.68,4.68,4.68,4.76,4.72,4.68,4.76,f,102.79452054794521,102.79452054794521,8.731273373814714,1.0,2.0,0.59,29,29,29,10.32876712328767,7.9452054794520555,1.5 baths,51.397260273972606,2.0,0.0,8.493909332202481
621,"Antwerp, Belgium",within an hour,100.0,100.0,t,host neighbourhood not available,1,"['email', 'phone']",t,neighbourhood not available,Entire rental unit,Entire home/apt,1.0,1,30,t,11,242,93,8,4.95,4.95,4.95,4.95,4.95,4.98,4.94,f,94.43835616438356,94.43835616438356,6.9035472275742364,1.0,2.0,5.65,31,51,272,69.24657534246575,74.52054794520548,1 bath,47.21917808219178,2.0,0.0,7.31010948089526
622,"Antwerp, Belgium",within an hour,100.0,100.0,f,host neighbourhood not available,123,"['email', 'phone']",t,"Antwerpen, Vlaanderen, Belgium",Entire rental unit,Entire home/apt,2.0,1,5,t,17,118,39,3,4.34,4.38,4.09,4.52,4.57,4.81,4.32,t,74.77534246575343,74.77534246575343,34.838070391131744,4.0,6.0,2.81,47,76,336,68.37808219178082,92.05479452054794,1.5 baths,12.46255707762557,1.5,0.0,46.59031873653716
623,"Antwerp, Belgium",within an hour,100.0,69.0,f,host neighbourhood not available,3,"['email', 'phone']",t,"Antwerpen, Vlaanderen, Belgium",Entire townhouse,Entire home/apt,2.0,2,1125,t,25,4,2,0,5.0,5.0,5.0,5.0,5.0,4.75,5.0,f,249.91780821917808,249.91780821917808,1.1691245980460898,3.0,4.0,0.09,55,85,339,232.1095890410959,92.87671232876711,1.5 baths,62.47945205479452,1.3333333333333333,0.0,0.46780363767465777
624,"Antwerp, Belgium",within a few hours,100.0,57.0,t,host neighbourhood not available,2,"['email', 'phone']",t,"Antwerpen, Vlaanderen, Belgium",Private room in condo,Private room,1.0,15,100,t,29,20,0,0,4.85,5.0,4.9,5.0,5.0,5.0,4.8,f,50.0,50.0,0.0,2.0,2.0,0.47,45,45,123,16.84931506849315,33.6986301369863,1 shared bath,25.0,1.0,0.0,0.0
625,"Antwerp, Belgium",response not available,95.51634665282823,88.03380009657171,f,host neighbourhood not available,6,"['email', 'phone']",t,"Antwerpen, Vlaanderen, Belgium",Entire loft,Entire home/apt,3.0,2,1125,t,0,111,0,0,4.78,4.85,4.54,4.93,4.96,4.78,4.79,f,75.2986301369863,75.2986301369863,1.0696221411851283,3.0,6.0,2.58,0,0,0,0.0,0.0,2.5 baths,12.549771689497717,2.0,0.0,1.420506773150094
626,"Antwerp, Belgium",within an hour,100.0,100.0,f,host neighbourhood not available,123,"['email', 'phone']",t,"Antwerpen, Vlaanderen, Belgium",Entire rental unit,Entire home/apt,1.0,1,5,t,21,101,32,1,4.21,4.32,4.03,4.45,4.5,4.81,4.26,t,74.77534246575343,74.77534246575343,34.838070391131744,8.0,12.0,2.34,51,79,350,71.12876712328767,95.8904109589041,1.5 baths,6.231278538812785,1.5,0.0,46.59031873653716
627,host location not available,within an hour,100.0,100.0,t,host neighbourhood not available,4,"['email', 'phone']",t,"Antwerpen, Vlaanderen, Belgium",Entire rental unit,Entire home/apt,3.0,2,1125,t,13,34,22,1,4.94,4.85,4.88,4.91,4.94,4.91,4.7,f,395.3150684931507,395.3150684931507,4.565989632895955,3.0,6.0,0.79,43,73,167,180.72602739726028,45.75342465753425,2.5 baths,65.88584474885845,2.0,0.0,1.15502544598172
628,"Antwerp, Belgium",response not available,95.51634665282823,88.03380009657171,f,host neighbourhood not available,1,"['email', 'phone']",t,"Antwerpen, Vlaanderen, Belgium",Entire rental unit,Entire home/apt,1.0,3,30,t,0,5,0,0,4.4,4.6,4.0,4.6,5.0,4.0,4.4,t,75.0,75.0,0.0,1.0,2.0,0.12,0,0,0,0.0,0.0,1 bath,37.5,2.0,0.0,0.0
629,"Antwerp, Belgium",within an hour,98.0,94.0,f,host neighbourhood not available,19,"['email', 'phone']",t,neighbourhood not available,Entire guest suite,Entire home/apt,1.510843373493976,1,1125,t,21,4,1,0,4.75,4.25,5.0,4.25,4.25,4.5,4.75,f,138.4986301369863,138.4986301369863,82.03087145547521,5.0,6.0,0.16,48,68,338,127.6109589041096,92.6027397260274,1 bath,23.08310502283105,1.2,0.0,59.22865184611579
630,"Antwerp, Belgium",within an hour,98.0,94.0,f,host neighbourhood not available,19,"['email', 'phone']",t,neighbourhood not available,Entire rental unit,Entire home/apt,1.510843373493976,1,1125,t,16,30,0,0,4.53,4.57,4.83,4.77,4.6,4.57,4.67,f,137.43013698630136,137.43013698630136,101.72017029729574,3.0,6.0,0.72,44,66,322,117.75342465753425,88.21917808219179,1.5 baths,22.90502283105023,2.0,0.0,74.01591275968451
631,"Antwerp, Belgium",within an hour,100.0,98.0,f,host neighbourhood not available,1,"['email', 'phone']",t,"Antwerpen, Vlaanderen, Belgium",Entire rental unit,Entire home/apt,2.0,1,1125,t,2,63,22,3,4.78,4.92,4.86,4.86,4.84,4.86,4.75,t,107.52876712328766,107.52876712328766,7.975055193788387,2.0,4.0,1.47,5,8,223,65.72054794520548,61.09589041095891,3 baths,26.882191780821916,2.0,0.0,7.416671284480131
632,"Amsterdam, Netherlands",response not available,95.51634665282823,88.03380009657171,f,host neighbourhood not available,1,"['email', 'phone']",t,neighbourhood not available,Entire rental unit,Entire home/apt,1.0,3,50,t,0,10,0,0,4.44,4.22,3.89,5.0,4.89,5.0,4.67,t,47.0,47.0,0.0,1.0,2.0,0.23,0,0,0,0.0,0.0,1 bath,23.5,2.0,0.0,0.0
633,"Zoersel, Belgium",within an hour,100.0,100.0,f,host neighbourhood not available,1,"['email', 'phone']",t,"Antwerpen, Vlaanderen, Belgium",Entire rental unit,Entire home/apt,1.0,2,1125,t,11,11,7,0,4.73,5.0,4.91,4.91,5.0,3.82,4.91,t,76.23287671232876,76.23287671232876,2.455765518979561,1.0,2.0,0.26,11,11,11,2.2739726027397262,3.0136986301369864,1 bath,38.11643835616438,2.0,0.0,3.2213995127674386
634,"Antwerp, Belgium",within an hour,100.0,100.0,f,host neighbourhood not available,123,"['email', 'phone']",t,"Antwerpen, Vlaanderen, Belgium",Entire rental unit,Entire home/apt,2.0,1,5,t,11,139,48,4,4.29,4.32,4.29,4.47,4.62,4.86,4.37,t,74.77534246575343,74.77534246575343,34.838070391131744,4.0,6.0,3.42,40,68,335,68.43013698630136,91.78082191780823,1.5 baths,12.46255707762557,1.5,0.0,46.59031873653716
635,"Antwerp, Belgium",within an hour,100.0,100.0,f,host neighbourhood not available,123,"['email', 'phone']",t,"Antwerpen, Vlaanderen, Belgium",Entire rental unit,Entire home/apt,2.0,1,5,t,16,112,28,1,4.06,4.02,3.88,4.37,4.44,4.76,4.08,t,74.77534246575343,74.77534246575343,34.838070391131744,4.0,6.0,2.65,45,68,333,66.88219178082191,91.23287671232877,1.5 baths,12.46255707762557,1.5,0.0,46.59031873653716
636,"Antwerp, Belgium",within an hour,100.0,100.0,f,host neighbourhood not available,123,"['email', 'phone']",t,"Antwerpen, Vlaanderen, Belgium",Entire rental unit,Entire home/apt,2.0,1,5,t,21,76,15,1,4.33,4.36,4.3,4.5,4.54,4.83,4.41,t,74.77534246575343,74.77534246575343,34.838070391131744,4.0,6.0,1.79,49,75,345,70.03013698630137,94.52054794520548,1.5 baths,12.46255707762557,1.5,0.0,46.59031873653716
637,"Antwerp, Belgium",within an hour,100.0,100.0,f,host neighbourhood not available,123,"['email', 'phone']",t,"Antwerpen, Vlaanderen, Belgium",Entire rental unit,Entire home/apt,2.0,1,5,t,17,60,20,0,4.18,4.33,4.12,4.58,4.68,4.8,4.3,t,74.77534246575343,74.77534246575343,34.838070391131744,4.0,6.0,1.43,47,75,348,70.71780821917808,95.34246575342465,1.5 baths,12.46255707762557,1.5,0.0,46.59031873653716
638,"Antwerp, Belgium",within an hour,100.0,99.0,f,host neighbourhood not available,21,"['email', 'phone']",t,"Antwerpen, Belgium",Entire serviced apartment,Entire home/apt,1.0,1,1125,t,2,25,6,0,4.67,4.67,4.92,4.79,4.75,4.83,4.67,t,192.66301369863012,192.66301369863012,40.56014224881758,1.0,2.0,0.61,2,20,295,162.05205479452056,80.82191780821918,1 bath,96.33150684931506,2.0,0.0,21.052376099682057
639,"Antwerp, Belgium",within an hour,100.0,99.0,f,host neighbourhood not available,21,"['email', 'phone']",t,"Antwerp, Belgium",Entire serviced apartment,Entire home/apt,1.0,1,1125,t,18,23,3,0,4.78,4.91,4.96,4.91,5.0,4.74,4.87,t,176.7917808219178,176.7917808219178,37.959860789531625,1.0,2.0,0.54,46,74,347,170.09315068493152,95.06849315068493,1 bath,88.3958904109589,2.0,0.0,21.471507675896177
640,"Antwerp, Belgium",within an hour,100.0,99.0,f,host neighbourhood not available,21,"['email', 'phone']",t,"Antwerp, Belgium",Entire serviced apartment,Entire home/apt,1.0,1,1125,t,19,46,1,0,4.76,4.78,4.8,4.87,4.76,4.83,4.63,t,177.986301369863,177.986301369863,36.69427192426337,1.0,2.0,1.08,49,79,354,173.08767123287672,96.98630136986301,1 bath,88.9931506849315,2.0,0.0,20.616346113070314
641,"Antwerp, Belgium",within an hour,100.0,99.0,f,host neighbourhood not available,21,"['email', 'phone']",t,"Antwerp, Belgium",Entire serviced apartment,Entire home/apt,2.0,1,1125,t,15,33,4,0,4.79,4.94,4.88,4.97,4.88,4.97,4.76,t,277.93698630136987,277.93698630136987,91.82492824356922,3.0,4.0,0.78,35,59,334,258.16712328767125,91.5068493150685,1.5 baths,69.48424657534247,1.3333333333333333,0.0,33.03803839335097
642,"Antwerp, Belgium",response not available,95.51634665282823,88.03380009657171,f,host neighbourhood not available,1,['phone'],t,"Antwerpen, Vlaanderen, Belgium",Entire rental unit,Entire home/apt,2.0,14,90,t,0,20,0,0,4.95,4.95,4.85,4.95,5.0,4.95,4.95,f,82.37260273972603,82.37260273972603,6.880320324488898,2.0,2.0,0.48,0,0,0,0.0,0.0,2.5 baths,41.18630136986302,1.0,0.0,8.352680497699886
643,host location not available,response not available,95.51634665282823,67.0,f,host neighbourhood not available,2,"['email', 'phone']",f,neighbourhood not available,Entire rental unit,Entire home/apt,1.510843373493976,2,1000,t,0,4,0,0,4.75,4.5,4.0,5.0,5.0,4.75,4.75,f,139.0,139.0,0.0,2.0,2.0,0.1,0,0,0,0.0,0.0,1 bath,69.5,1.0,0.0,0.0
644,"Antwerp, Belgium",within an hour,100.0,99.0,f,host neighbourhood not available,21,"['email', 'phone']",t,"Antwerpen, Belgium",Entire serviced apartment,Entire home/apt,1.510843373493976,1,1125,t,17,50,8,0,4.67,4.8,4.71,4.9,4.86,4.78,4.57,t,188.63287671232877,188.63287671232877,47.27145147912794,1.0,2.0,1.18,35,62,337,179.39178082191782,92.32876712328768,1 bath,94.31643835616438,2.0,0.0,25.060027871609268
645,"Antwerp, Belgium",within an hour,100.0,100.0,f,host neighbourhood not available,123,"['email', 'phone']",t,"Antwerpen, Vlaanderen, Belgium",Entire rental unit,Entire home/apt,1.0,1,5,t,9,103,6,1,4.35,4.44,4.31,4.63,4.75,4.91,4.36,t,74.77534246575343,74.77534246575343,34.838070391131744,4.0,9.0,2.44,36,61,313,65.10958904109589,85.75342465753425,1.5 baths,8.308371385083714,2.25,0.0,46.59031873653716
646,"Antwerp, Belgium",within an hour,100.0,99.0,f,host neighbourhood not available,21,"['email', 'phone']",t,"Antwerp, Belgium",Entire serviced apartment,Entire home/apt,1.0,1,1125,t,23,24,5,0,4.67,4.79,4.79,4.83,4.79,4.96,4.5,t,233.64109589041095,233.64109589041095,71.58557438712205,2.0,4.0,0.57,51,81,356,228.92328767123288,97.53424657534246,1 bath,58.41027397260274,2.0,0.0,30.639119421310696
647,"Antwerp, Belgium",within an hour,100.0,100.0,f,host neighbourhood not available,123,"['email', 'phone']",t,"Antwerpen, Vlaanderen, Belgium",Entire rental unit,Entire home/apt,1.0,1,5,t,15,52,17,0,4.31,4.35,4.19,4.48,4.58,4.75,4.31,t,74.77534246575343,74.77534246575343,34.838070391131744,4.0,9.0,1.26,44,69,328,67.06301369863014,89.86301369863014,1.5 baths,8.308371385083714,2.25,0.0,46.59031873653716
648,"Antwerp, Belgium",within an hour,100.0,100.0,t,host neighbourhood not available,1,"['email', 'phone']",t,neighbourhood not available,Entire townhouse,Entire home/apt,2.0,1,1125,t,17,132,46,2,4.85,4.89,4.91,4.88,4.86,4.38,4.78,t,68.76712328767124,68.76712328767124,8.95581422652531,6.0,7.0,3.17,39,59,301,57.36986301369863,82.46575342465754,1.5 baths,9.823874755381606,1.1666666666666667,0.0,13.023395189967085
649,"Bishkek, Kyrgyzstan",within a day,100.0,73.0,t,host neighbourhood not available,1,"['email', 'phone']",t,"Antwerpen, Vlaanderen, Belgium",Entire rental unit,Entire home/apt,1.510843373493976,5,1125,t,19,14,5,0,4.93,5.0,4.93,5.0,5.0,4.64,4.93,f,69.04383561643836,69.04383561643836,0.4363265428835283,1.0,3.0,0.34,49,79,79,14.953424657534246,21.643835616438356,1 bath,23.01461187214612,3.0,0.0,0.6319558277548026
650,"Antwerp, Belgium",within an hour,100.0,100.0,t,host neighbourhood not available,1,"['email', 'phone']",t,"Antwerpen, Vlaanderen, Belgium",Entire rental unit,Entire home/apt,1.0,2,7,t,4,248,68,5,4.98,4.98,4.99,4.99,4.99,4.87,4.93,f,71.53424657534246,71.53424657534246,2.642021951835114,1.0,2.0,5.84,17,32,32,6.191780821917808,8.767123287671232,1 bath,35.76712328767123,2.0,0.0,3.693366573802438
651,"Antwerp, Belgium",response not available,95.51634665282823,100.0,t,host neighbourhood not available,1,"['email', 'phone']",t,"Antwerpen, Vlaanderen, Belgium",Entire rental unit,Entire home/apt,1.0,3,1125,t,1,52,28,0,4.96,4.96,4.9,4.98,4.96,4.81,4.83,f,143.53698630136986,143.53698630136986,14.707846329083047,2.0,2.0,1.27,1,1,1,0.821917808219178,0.273972602739726,1.5 baths,71.76849315068493,1.0,0.0,10.246729228522671
652,"Antwerp, Belgium",within an hour,100.0,99.0,f,host neighbourhood not available,21,"['email', 'phone']",t,"Antwerpen, Belgium",Entire serviced apartment,Entire home/apt,1.0,1,1125,t,26,20,4,0,4.74,4.89,4.89,4.95,4.89,5.0,4.58,t,232.66027397260274,232.66027397260274,72.54278529066094,2.0,4.0,0.49,56,86,361,230.13698630136986,98.9041095890411,1 bath,58.165068493150685,2.0,0.0,31.17970423227617
653,"Antwerp, Belgium",within a few hours,100.0,90.0,f,host neighbourhood not available,3,"['email', 'phone']",t,neighbourhood not available,Entire rental unit,Entire home/apt,1.0,2,1125,t,25,13,8,2,4.77,4.77,4.69,4.77,5.0,4.77,4.85,f,99.0,99.0,0.0,2.0,7.0,0.33,55,85,360,97.64383561643835,98.63013698630137,1.5 baths,14.142857142857142,3.5,0.0,0.0
654,"Knokke-Heist, Belgium",within an hour,100.0,100.0,f,host neighbourhood not available,27,"['email', 'phone']",t,"Antwerpen, Vlaanderen, Belgium",Room in boutique hotel,Private room,1.0,1,1125,t,20,214,77,8,4.48,4.72,4.64,4.9,4.85,4.83,4.56,t,46.21917808219178,46.21917808219178,6.021131687243081,2.0,2.0,5.12,24,24,24,3.7726027397260276,6.575342465753424,1 private bath,23.10958904109589,1.0,0.0,13.027344788640926
655,host location not available,within an hour,100.0,73.0,t,host neighbourhood not available,2,['phone'],t,neighbourhood not available,Private room in townhouse,Private room,1.0,2,1125,t,0,29,16,0,4.97,4.97,4.97,4.97,4.97,4.97,4.97,f,75.0,75.0,0.0,1.0,2.0,0.69,0,0,87,17.876712328767123,23.835616438356162,1 shared bath,37.5,2.0,0.0,0.0
656,host location not available,within an hour,100.0,73.0,t,host neighbourhood not available,2,['phone'],t,neighbourhood not available,Private room in townhouse,Private room,1.0,2,1125,t,25,50,13,1,4.84,4.92,4.76,4.96,4.96,4.9,4.82,f,70.0,70.0,0.0,1.0,2.0,1.19,29,50,325,62.32876712328767,89.04109589041096,1 shared bath,35.0,2.0,0.0,0.0
657,"Rumst, Belgium",within an hour,100.0,100.0,t,host neighbourhood not available,1,"['email', 'phone']",t,"Antwerpen, Vlaanderen, Belgium",Entire condo,Entire home/apt,2.0,2,730,t,26,71,29,1,4.68,4.87,4.56,4.94,4.99,4.82,4.75,t,125.0,125.0,0.0,4.0,6.0,1.76,56,82,357,122.26027397260275,97.80821917808218,1 bath,20.833333333333332,1.5,0.0,0.0
658,"Antwerp, Belgium",within an hour,100.0,90.0,f,host neighbourhood not available,1,"['email', 'phone', 'work_email']",f,"Antwerpen, Vlaanderen, Belgium",Entire townhouse,Entire home/apt,1.0,1,1125,t,28,70,24,1,4.41,4.64,4.17,4.84,4.89,4.77,4.44,f,120.26027397260275,120.26027397260275,1.9988141900864718,2.0,4.0,1.7,53,80,349,114.74794520547945,95.61643835616438,1.5 baths,30.065068493150687,2.0,0.0,1.6620735377185607
659,"Antwerpen, Belgium",response not available,95.51634665282823,100.0,t,host neighbourhood not available,3,"['email', 'phone']",t,"Antwerpen, Vlaanderen, Belgium",Private room in condo,Private room,1.0,2,1125,t,0,14,0,0,4.71,4.93,4.86,4.93,4.71,4.86,5.0,f,39.134246575342466,39.134246575342466,0.5356056390405459,1.0,2.0,0.33,0,0,0,0.0,0.0,1 shared bath,19.567123287671233,2.0,0.0,1.3686366441458924
660,"Antwerpen, Belgium",response not available,95.51634665282823,100.0,t,host neighbourhood not available,3,"['email', 'phone']",t,"Antwerpen, Vlaanderen, Belgium",Entire condo,Entire home/apt,1.0,2,40,t,0,18,4,0,5.0,4.94,4.89,4.94,4.89,4.56,4.78,t,89.01095890410959,89.01095890410959,0.16538470290459067,1.0,2.0,0.44,0,0,0,0.0,0.0,1 bath,44.50547945205479,2.0,0.0,0.18580263030618238
661,"Antwerp, Belgium",response not available,95.51634665282823,78.0,f,host neighbourhood not available,1,"['email', 'phone']",t,neighbourhood not available,Entire rental unit,Entire home/apt,1.0,30,1125,t,0,10,4,1,4.7,4.6,4.5,4.9,4.8,4.6,4.8,f,40.608219178082194,40.608219178082194,0.5571102404020777,2.0,2.0,0.24,0,0,0,0.0,0.0,1 bath,20.304109589041097,1.0,0.0,1.3719149760272455
662,host location not available,within an hour,100.0,53.0,f,host neighbourhood not available,2,['phone'],t,"Antwerpen, Vlaanderen, Belgium",Private room in rental unit,Private room,1.510843373493976,3,1125,t,27,7,4,0,4.86,4.86,4.86,5.0,5.0,4.86,5.0,f,50.0,50.0,0.0,1.0,1.0,0.26,57,87,362,49.58904109589041,99.17808219178083,1.5 baths,50.0,1.0,0.0,0.0
663,"Edegem, Belgium",response not available,95.51634665282823,88.03380009657171,f,host neighbourhood not available,1,"['email', 'phone']",t,neighbourhood not available,Entire rental unit,Entire home/apt,1.0,90,1125,t,30,0,0,0,4.657249488752556,4.733232271325797,4.655092497430628,4.79267214799589,4.81198869475848,4.753273381294964,4.650775950668037,t,42.04383561643836,42.04383561643836,1.9953921026288115,2.0,3.0,1.745327198364008,60,90,90,9.863013698630137,24.65753424657534,1 bath,14.01461187214612,1.5,0.0,4.7459801737228995
664,"Antwerp, Belgium",response not available,95.51634665282823,83.0,f,host neighbourhood not available,1,"['email', 'phone']",t,"Antwerpen, Vlaanderen, Belgium",Entire rental unit,Entire home/apt,1.0,3,1125,t,0,8,6,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,95.0,95.0,0.0,1.0,2.0,0.2,0,0,0,0.0,0.0,1.5 baths,47.5,2.0,0.0,0.0
665,"Antwerp, Belgium",within a few hours,100.0,80.0,f,host neighbourhood not available,1,"['email', 'phone']",t,"Antwerpen, Vlaanderen, Belgium",Entire rental unit,Entire home/apt,1.0,2,50,t,24,5,2,2,5.0,4.8,5.0,4.8,5.0,4.8,5.0,f,87.82191780821918,87.82191780821918,20.340063903749435,1.0,2.0,0.13,47,47,58,14.136986301369863,15.890410958904111,1.5 baths,43.91095890410959,2.0,0.0,23.160578146524855
666,"Antwerp, Belgium",within an hour,100.0,99.0,f,host neighbourhood not available,21,"['email', 'phone']",t,"Antwerpen, Vlaanderen, Belgium",Entire serviced apartment,Entire home/apt,1.510843373493976,1,1125,t,0,62,11,0,4.81,4.77,4.89,4.85,4.87,4.85,4.69,t,169.32602739726028,169.32602739726028,46.74140347417388,1.0,2.0,1.48,0,0,273,139.63835616438357,74.79452054794521,1 bath,84.66301369863014,2.0,0.0,27.604382027172136
667,"Antwerp, Belgium",within an hour,100.0,97.0,f,host neighbourhood not available,1,"['email', 'phone']",t,"Antwerpen, Vlaanderen, Belgium",Private room in home,Private room,1.0,1,7,t,24,79,49,5,4.81,4.91,4.7,4.87,4.92,4.81,4.71,f,60.0,60.0,0.0,2.0,3.0,1.88,52,71,298,48.986301369863014,81.64383561643835,1.5 baths,20.0,1.5,0.0,0.0
668,"Antwerp, Belgium",within a day,80.0,22.0,f,host neighbourhood not available,3,"['email', 'phone']",t,neighbourhood not available,Entire rental unit,Entire home/apt,1.0,10,10,t,22,0,0,0,4.657249488752556,4.733232271325797,4.655092497430628,4.79267214799589,4.81198869475848,4.753273381294964,4.650775950668037,f,65.0,65.0,0.0,1.0,3.0,1.745327198364008,52,82,82,14.602739726027398,22.465753424657535,1 bath,21.666666666666668,3.0,0.0,0.0
669,"Antwerp, Belgium",within an hour,100.0,98.0,t,host neighbourhood not available,20,"['email', 'phone']",t,"Antwerpen, Vlaanderen, Belgium",Entire rental unit,Entire home/apt,1.0,1,1125,t,27,46,5,1,4.76,4.85,4.76,4.96,4.91,4.93,4.74,f,92.75616438356164,92.75616438356164,10.20009947028326,2.0,3.0,1.1,57,87,362,91.41917808219178,99.17808219178083,1 bath,30.918721461187214,1.5,0.0,10.99668096246866
670,"Niel, Belgium",within an hour,90.0,96.0,f,host neighbourhood not available,1,"['email', 'phone']",t,neighbourhood not available,Entire rental unit,Entire home/apt,2.0,3,1125,t,20,75,47,1,4.67,4.79,4.73,4.8,4.87,4.93,4.67,f,110.30684931506849,110.30684931506849,22.80047431046504,5.0,8.0,1.79,50,74,349,106.44657534246575,95.61643835616438,1 bath,13.788356164383561,1.6,0.0,20.670044019968557
671,"Antwerp, Belgium",response not available,95.51634665282823,80.0,f,host neighbourhood not available,1,"['email', 'phone']",t,"Antwerpen, Vlaanderen, Belgium",Entire condo,Entire home/apt,1.0,2,5,t,0,14,12,0,4.79,4.86,4.93,5.0,5.0,4.64,5.0,f,65.03561643835616,65.03561643835616,0.40781172362603957,1.0,2.0,0.96,0,0,0,0.0,0.0,1 bath,32.51780821917808,2.0,0.0,0.6270590577281341
672,"Brussels, Belgium",response not available,95.51634665282823,88.03380009657171,f,host neighbourhood not available,2,['phone'],t,neighbourhood not available,Entire rental unit,Entire home/apt,1.0,1,1125,t,0,3,0,0,4.5,5.0,4.0,5.0,5.0,5.0,5.0,f,164.0,164.0,0.0,1.0,3.0,0.07,0,0,0,0.0,0.0,1 bath,54.666666666666664,3.0,0.0,0.0
673,host location not available,within a day,50.0,99.0,f,host neighbourhood not available,7,"['email', 'phone']",t,neighbourhood not available,Entire rental unit,Entire home/apt,1.510843373493976,1,30,t,26,7,4,0,4.14,4.14,3.86,4.29,4.29,4.71,4.14,t,699.7013698630137,699.7013698630137,422.3425138872238,1.0,4.0,0.34,55,82,82,22.26027397260274,22.465753424657535,1 bath,174.92534246575343,4.0,0.0,60.36039545983871
674,"Antwerp, Belgium",within an hour,100.0,65.0,f,host neighbourhood not available,2,"['email', 'phone', 'work_email']",t,"Antwerpen, Vlaanderen, Belgium",Private room in townhouse,Private room,1.0,3,1125,t,5,11,3,1,4.45,4.45,4.36,4.36,4.36,4.64,4.45,f,85.0,85.0,0.0,1.0,2.0,0.26,29,59,334,77.78082191780823,91.5068493150685,1.5 baths,42.5,2.0,0.0,0.0
675,host location not available,response not available,95.51634665282823,88.03380009657171,f,host neighbourhood not available,6,"['email', 'phone']",f,"Antwerp, Vlaanderen, Belgium",Entire townhouse,Entire home/apt,1.510843373493976,3,1125,t,23,1,0,0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,f,140.0,140.0,0.0,1.0,3.0,0.03,53,83,83,31.835616438356166,22.73972602739726,1.5 baths,46.666666666666664,3.0,0.0,0.0
676,host location not available,within a day,50.0,99.0,f,host neighbourhood not available,7,"['email', 'phone']",t,neighbourhood not available,Entire rental unit,Entire home/apt,1.510843373493976,1,30,t,27,9,2,0,4.0,4.0,4.11,4.11,4.11,4.44,4.11,t,699.7013698630137,699.7013698630137,422.3425138872238,1.0,4.0,0.29,57,84,84,22.671232876712327,23.013698630136986,1 bath,174.92534246575343,4.0,0.0,60.36039545983871
677,host location not available,within a day,50.0,99.0,f,host neighbourhood not available,7,"['email', 'phone']",t,"Antwerpen, Vlaanderen, Belgium",Entire rental unit,Entire home/apt,1.510843373493976,1,28,t,25,5,0,0,3.2,4.2,4.0,4.0,4.2,4.6,3.8,t,699.7013698630137,699.7013698630137,422.3425138872238,1.0,4.0,0.17,50,77,77,21.136986301369863,21.095890410958905,1.5 baths,174.92534246575343,4.0,0.0,60.36039545983871
