,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_total_listings_count,host_verifications,host_identity_verified,neighbourhood,property_type,room_type,bedrooms,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,price,price_avg,price_std,beds,accommodates,reviews_per_month,availability_60,availability_90,availability_365,revenue,booking_rate,bathrooms_text,price_per_person,accom_per_bed,price_surge_percent,price_std_percent
13,"Antwerp, Belgium",within an hour,100.0,96.0,t,host neighbourhood not available,4,"['email', 'phone']",t,"Antwerp, Flemish Region, Belgium",Room in boutique hotel,Hotel room,1.0,2,1125,t,18,3,1,0,5.0,5.0,5.0,5.0,5.0,5.0,4.67,f,178.2876712328767,178.2876712328767,6.2138613485214,1.0,2.0,0.08,41,68,332,161.78082191780823,90.95890410958904,1 private bath,89.14383561643835,2.0,0.0,3.4853006411222602
14,"Antwerp, Belgium",within an hour,100.0,96.0,t,host neighbourhood not available,4,"['email', 'phone']",t,"Antwerp, Flemish Region, Belgium",Entire rental unit,Entire home/apt,1.0,3,366,t,12,20,14,0,5.0,5.0,5.0,5.0,5.0,5.0,4.8,f,210.43835616438355,210.43835616438355,9.949027095526667,1.0,3.0,0.19,33,60,322,185.34246575342465,88.21917808219179,1.5 baths,70.14611872146118,3.0,0.0,4.727763168685371
15,"Antwerp, Belgium",within an hour,100.0,88.0,t,host neighbourhood not available,3,"['email', 'phone']",t,"Antwerp, Flemish Region, Belgium",Entire rental unit,Entire home/apt,1.0,7,65,t,29,67,5,0,4.83,4.83,4.8,4.79,4.91,4.62,4.8,f,85.61643835616438,85.61643835616438,3.8288599606834355,1.0,2.0,0.6,59,89,179,42.26027397260274,49.04109589041096,1.5 baths,42.80821917808219,2.0,0.0,4.472108434078253
16,"Antwerp, Belgium",within an hour,100.0,96.0,f,host neighbourhood not available,2,['email'],t,neighbourhood not available,Entire rental unit,Entire home/apt,3.0,1,1125,t,19,298,48,4,4.62,4.71,4.62,4.87,4.9,4.55,4.59,f,77.0,77.0,0.0,5.0,5.0,2.53,49,78,349,73.62465753424658,95.61643835616438,1 bath,15.4,1.0,0.0,0.0
17,"Antwerp, Belgium",within an hour,100.0,96.0,f,host neighbourhood not available,2,['email'],t,neighbourhood not available,Entire rental unit,Entire home/apt,3.0,1,1125,t,19,24,1,0,4.63,4.78,4.52,4.91,4.87,4.65,4.7,t,77.0,77.0,0.0,5.0,5.0,0.21,49,78,349,73.62465753424658,95.61643835616438,1 bath,15.4,1.0,0.0,0.0
18,"Antwerpen, Belgium",within an hour,100.0,86.0,f,host neighbourhood not available,11,"['email', 'phone']",t,neighbourhood not available,Entire rental unit,Entire home/apt,1.0,3,1125,t,26,41,10,1,4.55,4.64,4.62,4.9,4.77,4.79,4.44,f,80.63013698630137,80.63013698630137,3.868394225293237,2.0,2.0,0.36,56,86,361,79.56164383561644,98.9041095890411,1 bath,40.31506849315068,1.0,0.0,4.797702657940984
19,"Antwerpen, Belgium",within an hour,100.0,86.0,f,host neighbourhood not available,11,"['email', 'phone']",t,neighbourhood not available,Entire rental unit,Entire home/apt,1.0,3,1125,t,21,20,3,1,4.53,4.53,4.71,4.61,4.39,4.83,4.44,f,80.25753424657535,80.25753424657535,3.70097692063774,2.0,2.0,0.17,51,81,229,50.202739726027396,62.73972602739726,1 bath,40.12876712328767,1.0,0.0,4.611376309253687
20,"Antwerpen, Belgium",within an hour,100.0,86.0,f,host neighbourhood not available,11,"['email', 'phone']",t,neighbourhood not available,Entire rental unit,Entire home/apt,1.0,3,1125,t,30,188,6,1,4.34,4.28,4.52,4.55,4.39,4.65,4.3,f,109.0,109.0,0.0,1.0,2.0,1.66,60,90,365,109.0,100.0,1 bath,54.5,2.0,0.0,0.0
21,"Antwerp, Belgium",within a few hours,100.0,54.0,f,host neighbourhood not available,3,"['email', 'phone']",t,"Antwerp, Flemish Region, Belgium",Entire loft,Entire home/apt,2.0,3,1125,t,18,34,12,0,4.68,4.71,4.56,4.74,4.82,4.91,4.64,f,295.0,295.0,0.0,2.0,4.0,0.3,48,74,164,132.54794520547946,44.93150684931507,3 baths,73.75,2.0,0.0,0.0
22,"Edegem, Belgium",within a day,73.0,71.0,f,host neighbourhood not available,5,"['email', 'phone']",t,neighbourhood not available,Private room in boat,Private room,10.0,1,1125,t,20,43,25,3,4.79,4.74,4.3,4.79,4.81,5.0,4.72,f,65.89041095890411,65.89041095890411,10.032312689882222,20.0,16.0,1.24,48,69,332,59.013698630136986,90.95890410958904,2 shared baths,4.118150684931507,0.8,0.0,15.225755225808776
23,"Edegem, Belgium",within a day,73.0,71.0,f,host neighbourhood not available,5,"['email', 'phone']",t,neighbourhood not available,Private room in boat,Private room,11.0,1,1125,t,23,182,24,0,4.51,4.52,4.24,4.71,4.68,4.85,4.36,f,66.08219178082192,66.08219178082192,10.651514653497344,16.0,16.0,1.58,24,47,296,51.945205479452056,81.0958904109589,2 shared baths,4.13013698630137,1.0,0.0,16.118585607489763
24,"Antwerpen, Belgium",within a few hours,100.0,100.0,f,host neighbourhood not available,2,"['email', 'phone']",f,neighbourhood not available,Entire rental unit,Entire home/apt,2.0,5,31,t,15,10,0,0,4.67,4.44,4.78,4.56,4.78,5.0,4.67,f,51.42465753424658,51.42465753424658,5.151330267271241,2.0,3.0,0.09,15,15,15,2.8767123287671232,4.10958904109589,1 bath,17.141552511415526,1.5,0.0,10.017237866563681
